original,regenerated,pos,meaning_ja,violations_before,violations_after,notes
mi,mi,pronoun,私,OK,OK,
tu,tu,pronoun,あなた,OK,OK,
li,li,pronoun,彼/彼女/それ,OK,OK,
mis,misu,pronoun,私たち,cluster_or_coda@2:s;non_vowel_ending,OK,
tus,tusu,pronoun,あなたたち,cluster_or_coda@2:s;non_vowel_ending,OK,
lis,lisu,pronoun,彼ら,cluster_or_coda@2:s;non_vowel_ending,OK,
wata,wata,wh,何,OK,OK,
kua,kua,wh,誰,OK,OK,
wena,wena,wh,いつ,OK,OK,
wera,wela,wh,どこ,uses_r,OK,
waia,waia,wh,なぜ,OK,OK,
haua,aua,wh,どうやって,invalid_char:h,OK,
somena,somena,pronoun,誰か,OK,OK,
e,e,conj,と,OK,OK,
pat,patu,conj,しかし,cluster_or_coda@2:t;non_vowel_ending,OK,
o,o,conj,または,OK,OK,
so,so,conj,だから,OK,OK,
ip,ipu,conj,もし,cluster_or_coda@1:p;non_vowel_ending,OK,
tande,tanute,conj,より,invalid_char:d,OK,
atde,atute,prep,で,invalid_char:d,OK,
inde,inute,prep,の中に,invalid_char:d,OK,
onde,onute,prep,の上に,invalid_char:d,OK,
paude,paute,prep,について,invalid_char:d,OK,
pode,pote,prep,のために,invalid_char:d,OK,
promde,pulomute,prep,から,invalid_char:d,OK,
tode,tote,prep,へ,invalid_char:d,OK,
witde,witute,prep,と,invalid_char:d,OK,
aita,aita,noun,考え,OK,OK,
ana,ana,noun,怒り,OK,OK,
ansa,anusa,noun,答え,cluster_or_coda@1:ns,OK,
ara,ala,noun,面積,uses_r,OK,
ata,ata,noun,芸術,OK,OK,
beta,peta,noun,美,invalid_char:b,OK,
eda,eta,noun,端,invalid_char:d,OK,
enera,enela,noun,エネルギー,uses_r,OK,
anma,anuma,noun,動物,cluster_or_coda@1:nm,OK,
aia,aia,noun,目,OK,OK,
epa,epa,noun,空港,OK,OK,
hata,kasa,noun,帽子,invalid_char:h,OK,手動解決: 日本『笠』由来
hisoa,isoa,noun,歴史,invalid_char:h,OK,
apa,apa,noun,リンゴ,OK,OK,
jota,jota,noun,喜び,OK,OK,
kaia,kaia,noun,親切,OK,OK,
kema,kema,noun,ゲーム,OK,OK,
kona,kona,noun,経済,OK,OK,
kosa,kosa,noun,費用,OK,OK,
kosa2,kusa,noun,コース,OK,OK,衝突分化 x1
krima,kulima,noun,犯罪,uses_r;cluster_or_coda@0:kr,OK,
kura,kula,noun,契約,uses_r,OK,
kwea,kuwea,noun,質問,cluster_or_coda@0:kw,OK,
lepa,lepa,noun,レベル,OK,OK,
lesa,lesa,noun,レッスン,OK,OK,
lita,lita,noun,文学,OK,OK,
masa,masa,noun,数学,OK,OK,
memo,mema,noun,記憶,missing_suffix:expected_a,OK,
meta,meta,noun,方法,OK,OK,
mupa,mupa,noun,映画,OK,OK,
musa,musa,noun,音楽,OK,OK,
naua,naua,noun,現在,OK,OK,
nema,nema,noun,名前,OK,OK,
nota,nota,noun,知らせ,OK,OK,
numa,numa,noun,数,OK,OK,
paia,paia,noun,支払い,OK,OK,
para,patala,noun,部分,uses_r,OK,手動解決: 英part延長(pa-ta-la)
pasa,pasa,noun,過去,OK,OK,
pasa2,eiwa,noun,平和,OK,OK,手動解決: 日本『平和』由来
paua,paua,noun,力,OK,OK,
pera,pela,noun,失敗,uses_r,OK,
pika,pika,noun,絵,OK,OK,
pila,pila,noun,請求書,OK,OK,
pina,pina,noun,点,OK,OK,
pira,kowa,noun,恐怖,uses_r,OK,手動解決: 日本『怖い』由来
pisa,pisa,noun,声,OK,OK,
ploa,puloa,noun,計画,cluster_or_coda@0:pl,OK,
poka,poka,noun,意見,OK,OK,
pona,pona,noun,点数,OK,OK,
propa,pulopa,noun,問題,uses_r;cluster_or_coda@0:pr,OK,
puroa,paloa,noun,製品,uses_r,OK,衝突分化 x1
puta,tata,noun,未来,OK,OK,衝突分化 x1
raina,laina,noun,線,uses_r,OK,
resa,sokuta,noun,レストラン,uses_r,OK,手動解決: 日本『食卓』風
reta,leta,noun,結果,uses_r,OK,
reta2,sita,noun,手紙,uses_r,OK,衝突分化 x1
risa,lisa,noun,理由,uses_r,OK,
risa2,losa,noun,危険,uses_r,OK,衝突分化 x1
roa,loa,noun,法律,uses_r,OK,
ropa,lopa,noun,愛,uses_r,OK,
rula,lula,noun,ルール,uses_r,OK,
rumpa,lumupa,noun,レポート,uses_r;cluster_or_coda@2:mp,OK,
saia,saia,noun,科学,OK,OK,
sapa,sapa,noun,安全,OK,OK,
sata,sata,noun,悲しみ,OK,OK,
sela,sela,noun,販売,OK,OK,
sena,sena,noun,文,OK,OK,
sepa,sepa,noun,サービス,OK,OK,
sina,sina,noun,事モノ,OK,OK,
sisa,sisa,noun,システム,OK,OK,
sora,sola,noun,種類,uses_r,OK,
sosa,sosa,noun,社会,OK,OK,
souna,souna,noun,音,OK,OK,
spesa,supesa,noun,宇宙,cluster_or_coda@0:sp,OK,
supo,supa,noun,スポーツ,missing_suffix:expected_a,OK,
suka,saka,noun,成功,OK,OK,衝突分化 x1
taima,taima,noun,時間,OK,OK,
tako,taka,noun,税金,missing_suffix:expected_a,OK,
tana,tana,noun,チャンス,OK,OK,
tansa,tanusa,noun,ダンス,cluster_or_coda@2:ns,OK,
tota,tota,noun,全体,OK,OK,
truta,tuluta,noun,真実,uses_r;cluster_or_coda@0:tr,OK,
weia,weia,noun,道方法,OK,OK,
woa,woa,noun,戦争,OK,OK,
wota,wota,noun,言葉,OK,OK,
inse,inusa,noun,虫,cluster_or_coda@1:ns;missing_suffix:expected_a,OK,
kata,kata,noun,猫,OK,OK,
pato,pata,noun,鳥,missing_suffix:expected_a,OK,
pisa2,tosa,noun,魚,OK,OK,REVIEW: 衝突残存 (pisaと同形)
toko,tuka,noun,犬,missing_suffix:expected_a,OK,衝突分化 x1
hana,ena,noun,手,invalid_char:h,OK,衝突分化 x1
harta,aluta,noun,心臓,invalid_char:h,OK,
heta,ita,noun,頭,invalid_char:h,OK,衝突分化 x1
mauta,mauta,noun,口,OK,OK,
nosa,nosa,noun,鼻,OK,OK,
pesa,pesa,noun,顔,OK,OK,
pona2,puna,noun,骨,OK,OK,衝突分化 x1
pota,pota,noun,体,OK,OK,
prota,pulota,noun,血,uses_r;cluster_or_coda@0:pr,OK,
puta2,teta,noun,足,OK,OK,REVIEW: 衝突残存 (putaと同形)
tera,kila,noun,尾,uses_r,OK,衝突分化 x1
wina,wina,noun,翼,OK,OK,
hota,ota,noun,ホテル,invalid_char:h,OK,
hosa,osa,noun,病院,invalid_char:h,OK,
kanta,kanuta,noun,国,cluster_or_coda@2:nt,OK,
kipa,kipa,noun,図書館,OK,OK,
kita,kita,noun,教会,OK,OK,
kota,kota,noun,裁判所,OK,OK,
mapa,mapa,noun,地図,OK,OK,
mara,mala,noun,市場,uses_r,OK,
musa2,nasa,noun,博物館,OK,OK,衝突分化 x1
opis,opisa,noun,オフィス,cluster_or_coda@3:s;missing_suffix:expected_a,OK,
paka,paka,noun,公園,OK,OK,
poka2,puka,noun,銀行,OK,OK,衝突分化 x1
posa,posa,noun,郵便局,OK,OK,
pria,pulia,noun,刑務所,uses_r;cluster_or_coda@0:pr,OK,
skula,sukula,noun,学校,cluster_or_coda@0:sk,OK,
sopa,sopa,noun,店,OK,OK,
stea,sutea,noun,駅,cluster_or_coda@0:st,OK,
teta,kekisa,noun,劇場,OK,OK,手動解決: 日本『劇』+sa(場)
wora,wola,noun,世界,uses_r,OK,
kota2,kuta,noun,コート,OK,OK,衝突分化 x1
krosa,kulosa,noun,服,uses_r;cluster_or_coda@0:kr,OK,
pasa3,pasuna,noun,ズボン,OK,OK,手動解決: 英pants音訳
pera2,tila,noun,ベルト,uses_r,OK,衝突分化 x1
rina,lina,noun,指輪,uses_r,OK,
soka,soka,noun,靴下,OK,OK,
sota,sota,noun,シャツ,OK,OK,
sua,sua,noun,靴,OK,OK,
tresa,tulesa,noun,ドレス,uses_r;cluster_or_coda@0:tr,OK,
wota2,wuta,noun,時計,OK,OK,衝突分化 x1
eka,eka,noun,卵,OK,OK,
kapa,kapa,noun,カップ,OK,OK,
koka,koka,noun,時計,OK,OK,
kopi,kupa,noun,コーヒー,missing_suffix:expected_a,OK,衝突分化 x1
krasa,kalasa,noun,グラス,uses_r;cluster_or_coda@0:kr,OK,衝突分化 x1
meta2,nita,noun,金属,OK,OK,衝突分化 x1
mika,mika,noun,みかん,OK,OK,
milka,miluka,noun,牛乳,cluster_or_coda@2:lk,OK,
mita,mita,noun,肉,OK,OK,
naipa,naipa,noun,ナイフ,OK,OK,
oira,oila,noun,油,uses_r,OK,
pana,pana,noun,パン,OK,OK,
pira2,pia,noun,ビール,uses_r,OK,手動解決: 英beer短音(rなし)
poka3,poluka,noun,フォーク,OK,OK,"手動解決: 英fork音節展開(f→p,r→l,名詞-a)"
pora,pola,noun,ボウル,uses_r,OK,
pota2,tuta,noun,ボトル,OK,OK,衝突分化 x1
praa,pula,noun,皿,uses_r;cluster_or_coda@0:pr,OK,
preta,puleta,noun,パン,uses_r;cluster_or_coda@0:pr,OK,
pruta,puluta,noun,果物,uses_r;cluster_or_coda@0:pr,OK,
puda,puta,noun,食べ物,invalid_char:d,OK,
raisa,laisa,noun,米,uses_r,OK,
sara,sala,noun,サラダ,uses_r,OK,
solta,soluta,noun,塩,cluster_or_coda@2:lt,OK,
sopa2,lupa,noun,石鹸,OK,OK,REVIEW: 衝突残存 (sopaと同形)
spuna,supuna,noun,スプーン,cluster_or_coda@0:sp,OK,
suka2,seka,noun,砂糖,OK,OK,衝突分化 x2
tamagoa,tamakoa,noun,卵,invalid_char:g,OK,
tesa,tesa,noun,テスト,OK,OK,
tia,tia,noun,お茶,OK,OK,
tisa,tisa,noun,チーズ,OK,OK,
wata2,jeta,noun,水,OK,OK,衝突分化 x1
weja,weja,noun,野菜,OK,OK,
wina2,wona,noun,ワイン,OK,OK,衝突分化 x1
hasa,asa,noun,夫,invalid_char:h,OK,
mama,mama,noun,母,OK,OK,
pama,pama,noun,父,OK,OK,
prata,pulata,noun,兄弟,uses_r;cluster_or_coda@0:pr,OK,
sora2,sula,noun,姉妹,uses_r,OK,衝突分化 x1
waipa,waipa,noun,妻,OK,OK,
aira,aila,noun,島,uses_r,OK,
aisa,aisa,noun,氷,OK,OK,
era,ela,noun,空気,uses_r,OK,
krasa2,kelasa,noun,草,uses_r;cluster_or_coda@0:kr,OK,衝突分化 x2
kura2,pala,noun,雲,uses_r,OK,REVIEW: 衝突残存 (kulaと同形)
mota,mota,noun,山,OK,OK,
muna,muna,noun,月,OK,OK,
paira,paila,noun,火,uses_r,OK,
pora2,molia,noun,森,uses_r,OK,手動解決: 日本『森』由来
praua,pulaua,noun,花,uses_r;cluster_or_coda@0:pr,OK,
rena,lena,noun,雨,uses_r,OK,
ripa,lipa,noun,川,uses_r,OK,
sana,sana,noun,太陽,OK,OK,
sia,sia,noun,海,OK,OK,
skai,suka,noun,空,cluster_or_coda@0:sk;missing_suffix:expected_a,OK,
snoa,sunoa,noun,雪,cluster_or_coda@0:sn,OK,
soto,lata,noun,嵐,missing_suffix:expected_a,OK,衝突分化 x2
staa,suta,noun,星,cluster_or_coda@0:st,OK,
stona,sutona,noun,石,cluster_or_coda@0:st,OK,
tria,tulia,noun,木,uses_r;cluster_or_coda@0:tr,OK,
weta,weta,noun,天気,OK,OK,
wina3,wuna,noun,風,OK,OK,衝突分化 x2
wota3,jata,noun,風,OK,OK,衝突分化 x2
atisa,atisa,noun,芸術家,OK,OK,
enema,enema,noun,敵,OK,OK,
huma,uma,noun,人間,invalid_char:h,OK,
jajo,jaja,noun,裁判官,missing_suffix:expected_a,OK,
